,STOCK,BOND,GOLD
1962-01-02,1.5978466943379293,0.37840579698478555,175.0
1962-01-03,1.6018518123030046,0.3795997273386847,175.0
1962-01-04,1.5909946474838508,0.3811765725552646,175.0
1962-01-05,1.5690990333733328,0.3800911268867501,175.0
1962-01-08,1.5571094398154806,0.3797694068972067,175.0
1962-01-09,1.5579578964323009,0.3790683405159027,175.0
1962-01-10,1.5538498679229793,0.37836886917328416,175.0
1962-01-11,1.5632606210629745,0.37804935768376,175.0
1962-01-12,1.5688423366968076,0.3781083153812084,175.0
1962-01-15,1.5658610428391824,0.3774110656424876,175.0
1962-01-16,1.5570185926891886,0.37633799013243663,175.0
1962-01-17,1.5402842747881458,0.3767737656305344,175.0
1962-01-18,1.5420332178180904,0.3772098962155916,175.0
1962-01-19,1.5503213663866127,0.3772691720564255,175.0
1962-01-22,1.551846221788731,0.37808299555614727,175.0
1962-01-23,1.5402910031555295,0.3773859425413243,175.0
1962-01-24,1.542942873613805,0.37782263198912214,175.0
1962-01-25,1.5419860071571911,0.37750403155540113,175.0
1962-01-26,1.5371937257738275,0.37756335361750276,175.0
1962-01-29,1.532174858274841,0.3772451216480251,175.0
1962-01-30,1.538437268150887,0.37768179784637723,175.0
1962-01-31,1.5537281432992318,0.378118829641028,175.0
1962-02-01,1.5633776341006889,0.3785562170967437,175.0
1962-02-02,1.5759634129004776,0.3789939602779421,175.0
1962-02-05,1.5777159926188895,0.37943205924869194,175.0
1962-02-06,1.5796947598950082,0.37987051407271266,175.0
1962-02-07,1.5902542678548373,0.37954958378522824,175.0
1962-02-08,1.5940414350274672,0.37960862483159474,175.0
1962-02-09,1.5919572914314712,0.3804268923117872,175.0
1962-02-12,1.5916795305404967,0.38048576790226407,175.0
1962-02-13,1.5916276364276278,0.38130562414024394,175.0
1962-02-14,1.5911239417214604,0.3813643331014211,175.0
1962-02-15,1.5985282542052013,0.3818044154350159,175.0
1962-02-16,1.595313436070059,0.38186304968452917,175.0
1962-02-19,1.591420103656369,0.3823035559882724,175.0
1962-02-20,1.5972446746217335,0.38083290095980005,175.0
1962-02-21,1.5897336648518878,0.3816535051868682,175.0
1962-02-23,1.5862904527600052,0.38215275154977113,175.0
1962-02-26,1.5774200366649744,0.3829757447968587,175.0
1962-02-27,1.5805320405246739,0.3826512792352947,175.0
1962-02-28,1.5822878867483043,0.3830925429723811,175.0
1962-03-01,1.5878893675393324,0.38391725608572436,175.0
1962-03-02,1.5871587933261786,0.3839756054147247,175.0
1962-03-05,1.583939434685852,0.38326601240106745,175.0
1962-03-06,1.5789093511050591,0.3829413009183388,175.0
1962-03-07,1.5770460773222084,0.3833828991010644,175.0
1962-03-08,1.588533665478806,0.3842082372866291,175.0
1962-03-09,1.5939130324365887,0.3850350473147265,175.0
1962-03-12,1.593635135312614,0.38586333104150944,175.0
1962-03-13,1.5983371227181185,0.3866930903236182,175.0
1962-03-14,1.6055306339313205,0.38636424774720407,175.0
1962-03-15,1.609102754772372,0.3852631096411246,175.0
1962-03-16,1.6065619307821108,0.38532135775412985,175.0
1962-03-19,1.6046997326156822,0.38653557874695743,175.0
1962-03-20,1.6005723884069323,0.3873666302412635,175.0
1962-03-21,1.5973500365445994,0.3893612609531725,175.0
1962-03-22,1.5950331483033648,0.39058666736611686,175.0
1962-03-23,1.5963407178909577,0.3890813587496646,175.0
1962-03-26,1.5838266006533863,0.38836063185179015,175.0
1962-03-27,1.5796944301293119,0.38802990886926875,175.0
1962-03-28,1.5875735028223084,0.38808765141523144,175.0
1962-03-29,1.5870675500330265,0.3881454025538349,175.0
1962-03-30,1.5768137238955653,0.38975574389657314,175.0
1962-04-02,1.5729122501734802,0.38981312460331347,175.0
1962-04-03,1.5603935441176682,0.39103995313157885,175.0
1962-04-04,1.5533145238405217,0.3930522571443607,175.0
1962-04-05,1.5630167756350348,0.39075056184329754,175.0
1962-04-06,1.561606730654468,0.391980030575383,175.0
1962-04-09,1.5497616291987408,0.3912530009472444,175.0
1962-04-10,1.555609778602389,0.39131013630611283,175.0
1962-04-11,1.5523834716864884,0.3898020394633331,175.0
1962-04-12,1.5409869779796448,0.390249383708622,175.0
1962-04-13,1.5411623323519452,0.3906970864738211,175.0
1962-04-16,1.5345283783637202,0.3915358449015287,175.0
1962-04-17,1.5415131044001562,0.3919845574094952,175.0
1962-04-18,1.5500884053711341,0.3924336286068132,175.0
1962-04-19,1.5575304734857163,0.3920981912909326,175.0
1962-04-23,1.556345295605378,0.3906437848071709,175.0
1962-04-24,1.5549326749398784,0.3903106524684603,175.0
1962-04-25,1.5380748584013997,0.38997795910278477,175.0
1962-04-26,1.5232576598855463,0.38964570407175547,175.0
1962-04-27,1.5063923212663122,0.39087246955433697,175.0
1962-04-30,1.4824795217623743,0.3909300146679103,175.0
1962-05-01,1.493115831525651,0.3913784982680709,175.0
1962-05-02,1.4998913188788563,0.39104458407312,175.0
1962-05-03,1.5123507250233297,0.3911021545257753,175.0
1962-05-04,1.5059456940488576,0.39076863129955464,175.0
1962-05-07,1.5011304716627394,0.39121708482404605,175.0
1962-05-08,1.4819894617144005,0.3916658977574692,175.0
1962-05-09,1.461479291915936,0.3928984019516028,175.0
1962-05-10,1.4459673471807126,0.392562723277237,175.0
1962-05-11,1.4252200204112775,0.3930126126204214,175.0
1962-05-14,1.435633408930797,0.3918908111432077,175.0
1962-05-15,1.462885741675782,0.3911645690447796,175.0
1962-05-16,1.4626116607115656,0.3916134769549692,175.0
1962-05-17,1.4550553336863823,0.39127951768434366,175.0
1962-05-18,1.4527318416314217,0.388989600887991,175.0
1962-05-21,1.4476762210422573,0.38865895972723624,175.0
1962-05-22,1.4193982137571703,0.3891060717606685,175.0
1962-05-23,1.3915684955881296,0.38994264981495397,175.0
1962-05-24,1.380582682203402,0.3903907743839477,175.0
1962-05-25,1.3545631180562054,0.39122964979795133,175.0
1962-05-28,1.2643051010919235,0.39167878764591385,175.0
1962-05-29,1.323234766343629,0.3909532493202268,175.0
1962-05-31,1.3587121649076854,0.39067829151311445,175.0
1962-06-01,1.3532078451941951,0.3911271064551503,175.0
1962-06-04,1.30531447844658,0.3915762817908968,175.0
1962-06-05,1.3123367070891276,0.39124266501430754,175.0
1962-06-06,1.3312145587894215,0.39130073039395646,175.0
1962-06-07,1.3316308151832599,0.39214140585203305,175.0
1962-06-08,1.3329591724386587,0.392591434798749,175.0
1962-06-11,1.3187803912771834,0.39225664154740675,175.0
1962-06-12,1.2852104656108025,0.39270680274080166,175.0
1962-06-13,1.266230361217388,0.3923719111062422,175.0
1962-06-14,1.2397159308903658,0.3912527169407534,175.0
1962-06-15,1.2754876396322608,0.39170219178819127,175.0
1962-06-18,1.2722448246194564,0.3909769209838723,175.0
1962-06-19,1.2678597647252199,0.3902533033809086,175.0
1962-06-20,1.2506898000856506,0.3907020946797966,175.0
1962-06-21,1.2236976108245696,0.3915419491428444,175.0
1962-06-22,1.2030912935439726,0.3916002143138477,175.0
1962-06-25,1.1980087330902958,0.3897004870836943,175.0
1962-06-26,1.1952087699189562,0.3889798504686902,175.0
1962-06-27,1.2017741103182287,0.38942779472506334,175.0
1962-06-28,1.2432978861572064,0.3887078169093395,175.0
1962-06-29,1.2512428636734387,0.38798947869372563,175.0
1962-07-02,1.2767837114903302,0.38804875486408164,175.0
1962-07-03,1.2913602571913345,0.38810804009051914,175.0
1962-07-05,1.2988541660479007,0.3882266377171735,175.0
1962-07-06,1.2844014524190748,0.3875094968447237,175.0
1962-07-09,1.2932684399064394,0.38640647874120493,175.0
1962-07-10,1.3083126160985596,0.38762549918009087,175.0
1962-07-11,1.3206161337611038,0.3888479038792909,175.0
1962-07-12,1.3276616081122983,0.3885183089893361,175.0
1962-07-13,1.3232696477237544,0.3885776659532095,175.0
1962-07-16,1.3234527864644379,0.3882484543195546,175.0
1962-07-17,1.2996063911418771,0.3875314272138391,175.0
1962-07-18,1.2865109969923412,0.3879786261782589,175.0
1962-07-19,1.2917251529811498,0.3880382086101362,175.0
1962-07-20,1.300832975370678,0.38848583840078293,175.0
1962-07-23,1.3007839804195616,0.38893383040331964,175.0
1962-07-24,1.2908875428657078,0.388604317019228,175.0
1962-07-25,1.293356597112638,0.38827523701426014,175.0
1962-07-26,1.3006369478182431,0.38872314023410154,175.0
1962-07-27,1.3106685356923258,0.3883939596066176,175.0
1962-07-30,1.3252856396591461,0.38806521186223625,175.0
1962-07-31,1.3346357737469212,0.38773689637347025,175.0
1962-08-01,1.3238143754978176,0.38818448630662516,175.0
1962-08-02,1.3292654637705539,0.38940880785311927,175.0
1962-08-03,1.3326546289552392,0.38907889205757706,175.0
1962-08-06,1.3243507468750166,0.38913848906247156,175.0
1962-08-07,1.3155859303773958,0.38880895670705123,175.0
1962-08-08,1.3192038709303917,0.38925747561068114,175.0
1962-08-09,1.3207583655390462,0.39009561492126177,175.0
1962-08-10,1.3204778711842542,0.3901550580625831,175.0
1962-08-13,1.3224918175636264,0.3902145102619069,175.0
1962-08-14,1.3368981233478796,0.3906641860308754,175.0
1962-08-15,1.346488577803083,0.39072356078613324,175.0
1962-08-16,1.3462113112511174,0.39156439168698376,175.0
1962-08-17,1.354887246660605,0.39162359249382217,175.0
1962-08-20,1.363335929022519,0.39246604943624636,175.0
1962-08-21,1.35777918501802,0.3925250750841576,175.0
1962-08-22,1.3731204194708744,0.3921915845342548,175.0
1962-08-23,1.371468322649575,0.3922507245350973,175.0
1962-08-24,1.3688968264978483,0.3923098734538764,175.0
1962-08-27,1.3683923458674199,0.39236903129193684,175.0
1962-08-28,1.3511132190288353,0.39203582901933176,175.0
1962-08-29,1.3483079821676094,0.39209510110300494,175.0
1962-08-30,1.348949767387834,0.39254647724915565,175.0
1962-08-31,1.359246718872236,0.3922131242883171,175.0
1962-09-04,1.3465575194575992,0.39233173103180286,175.0
1962-09-05,1.3366240340182924,0.39199871612201037,175.0
1962-09-06,1.342326300270829,0.391274140717369,175.0
1962-09-07,1.342969895477682,0.39055121516213875,175.0
1962-09-10,1.3447638209120123,0.3910015889047027,175.0
1962-09-11,1.3481687001722746,0.3910613252585631,175.0
1962-09-12,1.3541056225634382,0.39112107073881086,175.0
1962-09-13,1.3510689470476223,0.39157194641757925,175.0
1962-09-14,1.355626816077229,0.3916316145237,175.0
1962-09-17,1.3601859923388622,0.39169129172210354,175.0
1962-09-18,1.3592207941919516,0.39214266930589764,175.0
1962-09-19,1.357564644440139,0.3918101260978394,175.0
1962-09-20,1.3483083753680454,0.39226164062410457,175.0
1962-09-21,1.3289152906627888,0.39232125816710417,175.0
1962-09-24,1.304679500813273,0.39277320602919114,175.0
1962-09-25,1.3124606343036214,0.393225518665658,175.0
1962-09-26,1.2939763209936308,0.3936781961377411,175.0
1962-09-27,1.2853961562710847,0.3937375603101745,175.0
1962-09-28,1.2970960220016101,0.3941906709946584,175.0
1962-10-01,1.2793009698285212,0.39464414669117165,175.0
1962-10-02,1.2935466027055786,0.3950979874598665,175.0
1962-10-03,1.2951145254987795,0.39594729134798956,175.0
1962-10-04,1.3077522132535644,0.3960062120758688,175.0
1962-10-05,1.316472465346501,0.3952731291475617,175.0
1962-10-08,1.3166601526366564,0.3949369901333699,175.0
1962-10-09,1.3198471172037878,0.39420635670162313,175.0
1962-10-10,1.3209582767372736,0.3950542132307195,175.0
1962-10-11,1.3167618151236622,0.3947184171494735,175.0
1962-10-12,1.3146414950409708,0.3947777815463384,175.0
1962-10-15,1.3222158373872142,0.3948371548714202,175.0
1962-10-16,1.3180177677834437,0.39489653712606154,175.0
1962-10-17,1.3138183841153113,0.39495592831160553,175.0
1962-10-18,1.3013040034999939,0.39580524028601843,175.0
1962-10-19,1.2841665250532048,0.39744767496763383,175.0
1962-10-22,1.269796156634505,0.3963141605073193,175.0
1962-10-23,1.2360143602579128,0.3951843506148255,175.0
1962-10-24,1.2759352286060461,0.39524378508660446,175.0
1962-10-25,1.2640996231853427,0.39530322849713934,175.0
1962-10-26,1.2608128103975946,0.3957579840762715,175.0
1962-10-29,1.2882708806096446,0.3962131057579592,175.0
1962-10-30,1.307413300043026,0.39627238049639996,175.0
1962-10-31,1.3071372114522437,0.3963316641025298,175.0
1962-11-01,1.3211886828885924,0.3963909565776753,175.0
1962-11-02,1.3359378421114751,0.3968466488797409,175.0
1962-11-05,1.3499968589239983,0.39690586091941504,175.0
1962-11-07,1.3585069667744554,0.3970243115045183,175.0
1962-11-08,1.3496648680719974,0.3974805743640886,175.0
1962-11-09,1.3604913712499394,0.39793720383344733,175.0
1962-11-12,1.3794217145989915,0.39799626276766703,175.0
1962-11-13,1.3765973897732622,0.39765733420421495,175.0
1962-11-14,1.3929881977510268,0.397318852068553,175.0
1962-11-15,1.3887756620966332,0.39737813456394094,175.0
1962-11-16,1.3933618849276928,0.39664266963552586,175.0
1962-11-19,1.385674043518217,0.39670216603597125,175.0
1962-11-20,1.400453275000965,0.39676167136087664,175.0
1962-11-21,1.408981288777342,0.39721794728294163,175.0
1962-11-23,1.4260845160640168,0.3973368063049659,175.0
1962-11-26,1.4221045851878453,0.39699891234627077,175.0
1962-11-27,1.430870567722781,0.397455461095469,175.0
1962-11-28,1.4401024698262779,0.39751492169421215,175.0
1962-11-29,1.4470185913452176,0.39757439118844967,175.0
1962-11-30,1.4437347800108389,0.39763386957951236,175.0
1962-12-03,1.4365011612295382,0.39729572299915167,175.0
1962-12-04,1.4529213062944155,0.39695802163460236,175.0
1962-12-05,1.447310589462474,0.39741468088250664,175.0
1962-12-06,1.4600246749572294,0.3978717077655215,175.0
1962-12-07,1.4632296986820366,0.3983291023438536,175.0
1962-12-10,1.4450880130806703,0.39878686467734087,175.0
1962-12-11,1.4464353017267948,0.3992449948254523,175.0
1962-12-12,1.453817514659222,0.39970349284728757,175.0
1962-12-13,1.44913085526732,0.39976265530872884,175.0
1962-12-14,1.4528007512428787,0.40022158918246226,175.0
1962-12-17,1.4483449358873908,0.4010811126906588,175.0
1962-12-18,1.4415657946550349,0.4019421638095701,175.0
1962-12-19,1.4535970227195503,0.4015989179617454,175.0
1962-12-20,1.459359716711923,0.4020593224355515,175.0
1962-12-21,1.45536697550964,0.40292215450528623,175.0
1962-12-24,1.4553229720179939,0.40378651846054636,175.0
1962-12-26,1.4645736134042582,0.40390317632389444,175.0
1962-12-27,1.4626715127982821,0.4031537115411602,175.0
1962-12-28,1.4635580102824597,0.4020028036836891,175.0
1962-12-31,1.467001769122539,0.4016596655762591,175.0
1963-01-02,1.457652783113157,0.4029827778329386,175.0
1963-01-03,1.481784024302987,0.4034444489756385,175.0
1963-01-04,1.4915032029318958,0.40229271113201526,175.0
1963-01-07,1.4914568475630108,0.4027539109901344,175.0
1963-01-08,1.5060642674226152,0.4036182336689577,175.0
1963-01-09,1.5027626495181647,0.40327323617875016,175.0
1963-01-10,1.5057421519935446,0.40373524008067396,175.0
1963-01-11,1.5091876774115958,0.40419761305800456,175.0
1963-01-14,1.5175211321730708,0.40385195994048867,175.0
1963-01-15,1.5156158175968657,0.40431446658984915,175.0
1963-01-16,1.505562640947288,0.40437302801060526,175.0
1963-01-17,1.5164595863233257,0.4036228518574506,175.0
1963-01-18,1.517813042043277,0.4028743877357324,175.0
1963-01-21,1.520331029389794,0.402530505669058,175.0
1963-01-22,1.5242471049214448,0.4021870768646182,175.0
1963-01-23,1.5286299003350938,0.40224628773982335,175.0
1963-01-24,1.5318489340645498,0.402305507332185,175.0
1963-01-25,1.5360006911513098,0.4027670411503189,175.0
1963-01-28,1.5436486419853572,0.40242341053981373,175.0
1963-01-29,1.5436083291680798,0.4024826562085877,175.0
1963-01-30,1.5349442306445047,0.40254191059964056,175.0
1963-01-31,1.5432941047376851,0.402198631803657,175.0
1963-02-01,1.5460490535493658,0.4018558053508339,175.0
1963-02-04,1.5429757899974943,0.40151343058333855,175.0
1963-02-05,1.541767254559106,0.40117150684443703,175.0
1963-02-06,1.5487207957625175,0.40083003347849205,175.0
1963-02-07,1.5435473911795672,0.4008898398644396,175.0
1963-02-08,1.5437379709424532,0.40094965517387976,175.0
1963-02-11,1.5343634168965126,0.4006085297529699,175.0
1963-02-12,1.536186149944002,0.400668462060794,175.0
1963-02-13,1.5438432230040187,0.40072840333468157,175.0
1963-02-14,1.5487014723396269,0.4011890819793089,175.0
1963-02-15,1.5502932932195224,0.40124894193757243,175.0
1963-02-18,1.553052412128198,0.40130881082732184,175.0
1963-02-19,1.5457730842397015,0.4005660710282351,175.0
1963-02-20,1.5373245351834108,0.4002255898678611,175.0
1963-02-21,1.5396160263156797,0.39988555693615196,175.0
1963-02-25,1.529062461967311,0.4000061664350998,175.0
1963-02-26,1.5294848904973826,0.40006648482527646,175.0
1963-02-27,1.5189274129764057,0.40012681231108344,175.0
1963-02-28,1.5022924709315466,0.4005872757062034,175.0
1963-03-01,1.4980394305468392,0.4010481100364701,175.0
1963-03-04,1.5127154125892444,0.40150931536301204,175.0
1963-03-05,1.5133709244077442,0.40156938243122303,175.0
1963-03-06,1.5161305207372227,0.4020310278680895,175.0
1963-03-07,1.5259045619805258,0.4016889824221572,175.0
1963-03-08,1.527731055628719,0.40174907636913065,175.0
1963-03-11,1.5321303254441174,0.40180917930634935,175.0
1963-03-12,1.536062809856555,0.40186929123515824,175.0
