,REIT,REIT_yield
1980-01-15,1.00555069800454,0.001053846153846154
1980-01-16,1.0111322062574173,0.001053846153846154
1980-01-17,1.0167446957770163,0.001053846153846154
1980-01-18,1.0223883385309924,0.001053846153846154
1980-01-21,1.0280633074415413,0.001053846153846154
1980-01-22,1.0337697763906977,0.001053846153846154
1980-01-23,1.0395079202256632,0.001053846153846154
1980-01-24,1.045277914764163,0.001053846153846154
1980-01-25,1.0510799367998342,0.001053846153846154
1980-01-28,1.056914164107641,0.001053846153846154
1980-01-29,1.0627807754493233,0.001053846153846154
1980-01-30,1.068679950578873,0.001053846153846154
1980-01-31,1.074611870248043,0.001053846153846154
1980-02-01,1.0751875256178038,0.00018095238095238095
1980-02-04,1.0757634893585348,0.00018095238095238095
1980-02-05,1.076339761635426,0.00018095238095238095
1980-02-06,1.076916342613756,0.00018095238095238095
1980-02-07,1.0774932324588922,0.00018095238095238095
1980-02-08,1.0780704313362905,0.00018095238095238095
1980-02-11,1.0786479394114954,0.00018095238095238095
1980-02-12,1.07922575685014,0.00018095238095238095
1980-02-13,1.0798038838179462,0.00018095238095238095
1980-02-14,1.0803823204807248,0.00018095238095238095
1980-02-15,1.0809610670043752,0.00018095238095238095
1980-02-18,1.0815401235548858,0.00018095238095238095
1980-02-19,1.082119490298334,0.00018095238095238095
1980-02-20,1.082699167400886,0.00018095238095238095
1980-02-21,1.0832791550287968,0.00018095238095238095
1980-02-22,1.083859453348411,0.00018095238095238095
1980-02-25,1.0844400625261619,0.00018095238095238095
1980-02-26,1.0850209827285722,0.00018095238095238095
1980-02-27,1.0856022141222537,0.00018095238095238095
1980-02-28,1.0861837568739074,0.00018095238095238095
1980-02-29,1.0867656111503239,0.00018095238095238095
1980-03-03,1.0800524838519139,0.0002714285714285714
1980-03-04,1.0733808246287377,0.0002714285714285714
1980-03-05,1.0667503773257743,0.0002714285714285714
1980-03-06,1.0601608873703139,0.0002714285714285714
1980-03-07,1.0536121017621836,0.0002714285714285714
1980-03-10,1.0471037690640332,0.0002714285714285714
1980-03-11,1.0406356393916825,0.0002714285714285714
1980-03-12,1.0342074644045256,0.0002714285714285714
1980-03-13,1.0278189972959975,0.0002714285714285714
1980-03-14,1.0214699927840964,0.0002714285714285714
1980-03-17,1.0151602071019683,0.0002714285714285714
1980-03-18,1.0088893979885456,0.0002714285714285714
1980-03-19,1.0026573246792472,0.0002714285714285714
1980-03-20,0.9964637478967334,0.0002714285714285714
1980-03-21,0.9903084298417197,0.0002714285714285714
1980-03-24,0.9841911341838463,0.0002714285714285714
1980-03-25,0.9781116260526042,0.0002714285714285714
1980-03-26,0.9720696720283176,0.0002714285714285714
1980-03-27,0.9660650401331821,0.0002714285714285714
1980-03-28,0.9600974998223574,0.0002714285714285714
1980-03-31,0.9541668219751163,0.0002714285714285714
1980-04-01,0.9539992597154254,0.00039047619047619044
1980-04-02,0.953831726881523,0.00039047619047619044
1980-04-03,0.9536642234682412,0.00039047619047619044
1980-04-07,0.9534967494704136,0.00039047619047619044
1980-04-08,0.9533293048828746,0.00039047619047619044
1980-04-09,0.9531618897004592,0.00039047619047619044
1980-04-10,0.9529945039180038,0.00039047619047619044
1980-04-11,0.9528271475303453,0.00039047619047619044
1980-04-14,0.9526598205323216,0.00039047619047619044
1980-04-15,0.9524925229187716,0.00039047619047619044
1980-04-16,0.9523252546845351,0.00039047619047619044
