FTSE Nareit U.S. Real Estate Index Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Index Values and Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 1971 - May 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Returns and dividend yield in percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All REITs,,,,,,,Composite,,,,,,,Real Estate 50TM,,,,,,,All Equity REITs,,,,,,,Equity REITs,,,,,,,Mortgage REITs,,,,,,
,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income ,Dividend,
Date,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-20,1.40,"8,899.33",1.28,234.64,0.12,3.99,,1.41,"8,746.19",1.28,229.43,0.12,4.00,,2.04,909.00,1.95,351.63,0.09,3.46,,1.27,"21,622.60",1.15,788.26,0.12,3.63,,1.21,"20,399.42",1.06,734.09,0.15,3.91,,3.56,"1,473.67",3.41,5.57,0.15,9.45,
Feb-20,-7.08,"8,268.94",-7.26,217.62,0.17,4.31,,-7.11,"8,124.17",-7.29,212.71,0.17,4.32,,-6.70,848.11,-6.87,327.47,0.17,3.70,,-7.03,"20,103.46",-7.20,731.50,0.18,3.92,,-8.01,"18,766.16",-8.22,673.76,0.21,4.27,,-8.39,"1,350.01",-8.56,5.09,0.17,10.36,
Mar-20,-20.85,"6,544.90",-21.43,170.98,0.58,5.39,,-20.86,"6,429.67",-21.44,167.11,0.58,5.40,,-17.66,698.30,-18.20,267.86,0.54,4.54,,-18.68,"16,347.20",-19.22,590.87,0.54,4.75,,-21.92,"14,652.58",-22.50,522.15,0.58,5.36,,-53.75,624.33,-54.79,2.30,1.04,22.89,
Apr-20,9.06,"7,137.81",8.85,186.11,0.21,4.76,,9.21,"7,021.88",9.00,182.15,0.21,4.76,,9.46,764.38,9.29,292.75,0.17,4.15,,8.83,"17,790.60",8.63,641.84,0.20,4.32,,8.30,"15,869.14",8.10,564.46,0.20,4.87,,19.41,745.53,18.94,2.74,0.47,15.55,
May-20,1.71,"7,259.76",1.51,188.92,0.20,4.59,,1.74,"7,144.31",1.54,184.96,0.20,4.58,,2.10,780.46,1.91,298.34,0.19,3.97,,1.71,"18,094.90",1.52,651.58,0.19,4.15,,0.19,"15,899.43",-0.05,564.18,0.24,4.73,,2.54,764.43,2.12,2.80,0.42,15.17,
Jun-20,2.74,"7,458.47",2.13,192.95,0.60,4.33,,2.72,"7,338.42",2.12,188.87,0.60,4.31,,2.22,797.82,1.64,303.23,0.58,3.78,,2.31,"18,512.81",1.78,663.15,0.53,3.97,,3.06,"16,385.19",2.49,578.24,0.56,4.46,,12.58,860.62,10.38,3.09,2.20,11.64,
Jul-20,3.77,"7,739.84",3.62,199.93,0.15,4.06,,3.87,"7,622.50",3.72,195.89,0.15,4.04,,4.34,832.46,4.22,316.04,0.12,3.52,,3.82,"19,219.32",3.68,687.53,0.14,3.73,,4.05,"17,048.42",3.86,600.59,0.18,4.17,,5.06,904.15,4.63,3.23,0.43,10.82,
Aug-20,0.33,"7,765.11",0.16,200.24,0.17,4.06,,0.23,"7,640.21",0.06,196.01,0.17,4.05,,-0.12,831.48,-0.28,315.14,0.17,3.57,,0.14,"19,245.57",-0.03,687.32,0.17,3.74,,0.78,"17,181.69",0.57,604.03,0.21,4.16,,2.28,924.77,2.02,3.29,0.26,10.64,
Sep-20,-2.55,"7,567.39",-3.10,194.04,0.55,4.15,,-2.58,"7,442.82",-3.15,189.83,0.57,4.14,,-2.09,814.07,-2.65,306.78,0.56,3.65,,-2.66,"18,733.04",-3.17,665.51,0.51,3.84,,-3.26,"16,620.72",-3.79,581.14,0.52,4.28,,-0.97,915.82,-2.73,3.20,1.77,10.54,
Oct-20,-3.17,"7,327.33",-3.32,187.60,0.14,4.30,,-3.23,"7,202.68",-3.37,183.43,0.14,4.28,,-3.34,786.84,-3.46,296.18,0.11,3.78,,-3.35,"18,104.61",-3.48,642.32,0.13,3.98,,-2.61,"16,186.35",-2.78,564.98,0.17,4.40,,-0.50,911.22,-0.98,3.17,0.47,10.65,
