,LONGT,LONGT_yield
1980-01-15,1.0,0.0
1980-01-16,0.9993645671528864,0.00028493149639808967
1980-01-17,0.9941852001066954,0.00028520547527156463
1980-01-18,0.9819368032072315,0.0002868493223843509
1980-01-21,0.9688163659596937,0.0008720547663022394
1980-01-22,0.9760284242308611,0.0002950685056921554
1980-01-23,0.9771824478921437,0.0002928767008324192
1980-01-24,0.9610962067860426,0.0002926027480870077
1980-01-25,0.9504760688000443,0.0002978082160427146
1980-01-28,0.9488378600601556,0.0009041095890410958
1980-01-29,0.9417387656577739,0.00030219177350606003
1980-01-30,0.9428351014563048,0.0003046575311112077
1980-01-31,0.9447504786897802,0.00030438355223773273
1980-02-01,0.9336987766632485,0.0003038356206188463
1980-02-04,0.9273948125556776,0.0009230136610057255
1980-02-05,0.9030378916632963,0.00031013697794038956
1980-02-06,0.8929350789880218,0.00031890411899514393
1980-02-07,0.8991223726265204,0.0003227397187115395
1980-02-08,0.897921642815901,0.00032054793997986675
1980-02-11,0.8827376481937853,0.00096328769318045
1980-02-13,0.8919813207091818,0.0006542465523497699
1980-02-14,0.8864558107893948,0.00032383560807737585
1980-02-15,0.8718196871536803,0.00032602738680904855
1980-02-19,0.8392717018803739,0.0013271232500468215
1980-02-20,0.8428115798211567,0.00034547944264869167
1980-02-21,0.829575204442925,0.0003441096005374438
1980-02-22,0.8414170171972306,0.0003498630262401006
1980-02-25,0.8358088524760625,0.0010347945330894156
1980-02-26,0.8259360486888844,0.0003476712213803644
1980-02-27,0.831905367175172,0.0003520548049717733
1980-02-28,0.8631171198930905,0.0003495890473666256
1980-02-29,0.8661417316964874,0.00033671232772200077
1980-03-03,0.8622146699261083,0.001006849315068493
1980-03-04,0.8604639955414668,0.00033753423821436215
1980-03-05,0.8573748106392323,0.00033835617483478705
1980-03-06,0.8417940023471121,0.0003397260169460349
1980-03-07,0.8512608329269226,0.0003463013792691166
1980-03-10,0.8690031140151077,0.0010273972602739725
1980-03-11,0.8783378244071145,0.00033561643835616436
1980-03-12,0.8600038522572334,0.00033205479138518034
1980-03-13,0.8739956839893692,0.0003394520642006234
1980-03-14,0.8728920486357852,0.00033397259124337813
1980-03-17,0.8744486796811658,0.001003561646970984
1980-03-18,0.888868416255494,0.0003342465701168531
1980-03-19,0.8913153758013842,0.00032876712328767124
1980-03-20,0.873887547210903,0.00032794521279530986
1980-03-21,0.8700251620353753,0.000334794527863803
1980-03-24,0.8434810552143597,0.0010093150465455773
1980-03-25,0.8450677077595659,0.0003476712213803644
1980-03-26,0.8525659122268376,0.0003471232897614779
1980-03-27,0.856839233293289,0.0003441096005374438
1980-03-28,0.867249096733117,0.00034246575342465754
1980-03-31,0.8708548706661624,0.001015068524504361
1980-04-01,0.8684006838082572,0.0003372602854689507
1980-04-02,0.8735013020198878,0.00033835617483478705
1980-04-03,0.874482245390223,0.0003364383488485258
1980-04-07,0.9041801866957874,0.0013446575844124572
1980-04-08,0.9059470048631378,0.00032520547631668717
1980-04-09,0.9106982612631017,0.0003246575446978007
1980-04-10,0.9147394825473197,0.00032301369758501447
1980-04-11,0.9311120894281122,0.00032164382934570315
1980-04-14,0.9343232453314552,0.0009476712109291389
1980-04-15,0.9369701207018317,0.00031506849315068495
1980-04-16,0.9833666365744005,0.0003142465826583235
1980-04-17,0.9767859563998322,0.00029890410540855093
1980-04-18,0.9779283103599855,0.0003010958841402237
1980-04-21,0.9805065732297267,0.0009024657158002461
1980-04-22,0.982514761022651,0.00030027397364786225
1980-04-23,0.9759567458928055,0.00029972601590091236
1980-04-24,0.9669747842424081,0.00030191782076064854
1980-04-25,0.9631051934766084,0.00030493150998468267
1980-04-28,0.9911638580382893,0.0009189041346719819
1980-04-29,0.9888362234496405,0.0002975342371692396
1980-04-30,0.9891258289445198,0.00029835617378966446
1980-05-01,1.0044173589457528,0.00029835617378966446
1980-05-02,1.027567165028277,0.0002936986374528441
1980-05-05,1.0397709896444056,0.0008605479671530527
1980-05-06,1.051645424008575,0.0002835616542868418
1980-05-07,1.0558532004190702,0.0002802739600612693
1980-05-08,1.0415693417566771,0.0002791780706954329
1980-05-09,1.0351884774220108,0.00028328767541336685
1980-05-12,1.0332230191775449,0.0008556164258146939
1980-05-13,1.047832077542541,0.00028602738576392607
1980-05-14,1.0510332434473262,0.00028191780717405553
1980-05-15,1.0321703062567178,0.0002810958966816941
1980-05-16,1.0259147543460072,0.00028657534351087595
1980-05-19,1.0130124210289662,0.0008654794301072212
1980-05-20,1.032670269505339,0.0002926027480870077
1980-05-21,1.0482013673318107,0.0002868493223843509
1980-05-22,1.0455982934686803,0.00028246576492100547
1980-05-23,1.0704436969950186,0.00028328767541336685
1980-05-27,1.0705991514474418,0.001105753441379495
1980-05-28,1.0589509698521438,0.00027671233921834864
1980-05-29,1.0494820019599513,0.0002800000073158578
1980-05-30,1.0449565507739202,0.0002827397176664169
1980-06-02,1.0382071185428516,0.0008523287577171847
1980-06-03,1.0538461751190846,0.00028630136463740104
1980-06-04,1.0649456595872233,0.00028191780717405553
1980-06-05,1.0752489403767096,0.0002789041179500214
1980-06-06,1.097146387588815,0.00027616438147139876
1980-06-09,1.1107450310963736,0.0008112328673062258
1980-06-10,1.0972303708300857,0.0002671232876712329
1980-06-11,1.107034806160564,0.0002706849346422169
1980-06-12,1.1279204474748183,0.00026821917703706924
1980-06-13,1.1404749643142136,0.0002630137090813624
1980-06-16,1.141345772608188,0.0007799999811877943
1980-06-17,1.1382604184538314,0.0002599999937292648
1980-06-18,1.1296349726074475,0.00026082193034968965
1980-06-19,1.1332527361922098,0.0002630137090813624
1980-06-20,1.1413780868964578,0.0002621917724609375
1980-06-23,1.124461435968751,0.0007808219178082191
1980-06-24,1.1203864184898222,0.0002646575300660852
1980-06-25,1.1109638062268945,0.00026575341943192157
1980-06-26,1.098542098721038,0.00026821917703706924
1980-06-27,1.092580219067178,0.00027150684513457834
1980-06-30,1.0913877346498726,0.0008194520767420937
1980-07-01,1.078385989568137,0.0002736986238662511
1980-07-02,1.0786790725570243,0.0002772602708372351
1980-07-03,1.0912233334679342,0.0002772602708372351
1980-07-07,1.0700865650978773,0.0010958904109589042
1980-07-08,1.086503837999697,0.0002800000073158578
1980-07-09,1.0786662909495464,0.0002756164498525123
1980-07-10,1.07193761830804,0.00027780822858418505
1980-07-11,1.063325456355743,0.00027972602844238283
1980-07-14,1.0583475269797404,0.0008465753581425914
1980-07-15,1.0754031517766207,0.0002838356070322533
