,STOCK,TECH,INTL,GOLD,BOND,LONGT,CASH,REIT
1980-04-02,4.35447883605957,1.5949130341254285,1.4699121367250798,500.5,0.6093128320541109,0.8735013020198878,1.0146065506056512,0.953831726881523
1980-04-03,4.332643985748291,1.586916289152065,1.4718705449975222,485.75,0.6093128320541109,0.874482245390223,1.014589838073143,0.9536642234682412
1980-04-07,4.248422622680664,1.5560683830288136,1.4659947732304457,485.75,0.6093128320541109,0.9041801866957874,1.0188819157038234,0.9534967494704136
1980-04-08,4.292092323303223,1.5720634448344692,1.4826426109205806,528.0,0.6093128320541109,0.9059470048631378,1.0189460495870657,0.9533293048828746
1980-04-09,4.373193740844727,1.601767212308748,1.51104221092477,554.0,0.6093128320541109,0.9106982612631016,1.0201529562133556,0.9531618897004592
1980-04-10,4.413744449615479,1.616620405928328,1.5237730132901202,526.0,0.6093128320541109,0.9147394825473196,1.0205949248049957,0.9529945039180038
1980-04-11,4.401265621185303,1.6120517106270804,1.5237730132901202,530.5,0.6093128320541109,0.9311120894281122,1.0224676747276469,0.9528271475303453
1980-04-14,4.363836288452148,1.5983403851935765,1.5267110085636086,529.75,0.6093128320541109,0.9343232453314552,1.0243437510297937,0.9526598205323216
1980-04-15,4.357598781585693,1.5960552516134885,1.5081041062613316,497.5,0.6093128320541109,0.9369701207018316,1.024822360082243,0.9524925229187716
1980-04-16,4.310810565948486,1.578918321621757,1.518876828524089,520.0,0.6093128320541109,0.9833666365744004,1.0267407947455391,0.9523252546845352
1980-04-17,4.288974761962891,1.5709210526954174,1.525731202782663,513.0,0.6093128320541109,0.9767859563998322,1.0271149201323728,0.9521580158244528
1980-04-18,4.2671380043029785,1.5629230851651092,1.5325863427708863,515.6,0.6093128320541109,0.9779283103599856,1.028934458503124,0.951990806333366
1980-04-21,4.2390666007995605,1.552642079866618,1.5325863427708863,506.0,0.6093128320541109,0.9805065732297268,1.031338537607334,0.9518236262061176
1980-04-22,4.388792037963867,1.6074800462589682,1.5365030499258217,502.4,0.6093128320541109,0.982514761022651,1.0350023865466151,0.9516564754375508
1980-04-23,4.404386043548584,1.6131941027661325,1.562944351047518,506.5,0.6093128320541109,0.9759567458928056,1.0365157152220172,0.9514893540225096
1980-04-24,4.429342269897461,1.622333239878548,1.5688200134246453,515.7,0.6093128320541109,0.966974784242408,1.0373402194312296,0.9513222619558396
1980-04-25,4.463649749755859,1.6349002520120877,1.5756748252430188,551.5,0.6093128320541109,0.9631051934766084,1.0381627639153646,0.9511551992323868
1980-04-28,4.4854841232299805,1.6428976955894192,1.590363817100912,524.25,0.6093128320541109,0.9911638580382892,1.043138711364399,0.9509881658469984
1980-04-29,4.497963905334473,1.6474679627495952,1.5933029062738993,513.75,0.6093128320541109,0.9888362234496404,1.0447343285002038,0.9508211617945218
1980-04-30,4.516678333282471,1.654323014187875,1.5952608769865422,518.0,0.6415175509156803,0.9891258289445198,1.0467739955420263,0.9506541870698062
1980-05-01,4.48236894607544,1.6417553034503676,1.5933029062738993,490.0,0.6415175509156803,1.0044173589457528,1.0472155161028835,0.952882173408002
1980-05-02,4.488603591918945,1.6440414849364078,1.5933029062738993,512.5,0.6415175509156803,1.027567165028277,1.0500520513704363,0.9551153813327542
1980-05-05,4.529155254364014,1.658892058791107,1.6060330522995503,512.5,0.6415175509156803,1.0397709896444056,1.051836461725551,0.9573538230815556
1980-05-06,4.5229172706604,1.6566083224189552,1.6158259687813623,512.5,0.6415175509156803,1.051645424008575,1.0529123798411406,0.9595975109205788
1980-05-07,4.566588878631592,1.6726033842246109,1.6217019593283388,510.0,0.6415175509156803,1.0558532004190702,1.0558005796163843,0.9618464571447444
1980-05-08,4.526037693023682,1.657749841303047,1.6089714851328385,515.75,0.6415175509156803,1.0415693417566771,1.0572178174357696,0.9641006740777868
1980-05-09,4.469889163970947,1.6371850362901916,1.620722591107193,508.25,0.6415175509156803,1.0351884774220108,1.0571616815664389,0.9663601740723234
1980-05-12,4.473008632659912,1.6383276030802354,1.620722591107193,513.25,0.6415175509156803,1.0332230191775449,1.0589740313530196,0.9686249695099218
1980-05-13,4.53851318359375,1.6623199338122308,1.620722591107193,512.0,0.6415175509156803,1.047832077542541,1.0608447340975715,0.9708950728011672
1980-05-14,4.560345649719238,1.6703175520405549,1.620722591107193,525.0,0.6415175509156803,1.0510332434473262,1.0617931146383446,0.9731704963857304
1980-05-15,4.566588878631592,1.6726033842246109,1.620722591107193,517.0,0.6415175509156803,1.0321703062567178,1.0596318779277798,0.9754512527324368
