,CASH,CASH_yield
1980-01-15,1.0,0.0
1980-01-16,1.000555773325655,0.00032520547631668717
1980-01-17,1.000307795625137,0.00032383560807737585
1980-01-18,1.0000163456559816,0.00032712327617488495
1980-01-21,1.0002380634240042,0.000992054769437607
1980-01-22,1.0008977440471258,0.0003350684806092145
1980-01-23,1.0018866089679765,0.0003331506807510167
1980-01-24,1.0015027453760732,0.0003293150810346211
1980-01-25,1.0012650712685474,0.00033342465962449166
1980-01-28,1.0027790838134873,0.0010101369831660022
1980-01-29,1.0027302720611586,0.00033369863849796663
1980-01-30,1.0036760854176423,0.00033589041722963933
1980-01-31,1.0046195933540807,0.0003323287702586553
1980-02-01,1.0041394310147902,0.00032876712328767124
1980-02-04,1.0060273315732773,0.0010002739788734748
1980-02-05,1.0052142993214224,0.0003282191655407213
1980-02-06,1.0063037624691393,0.000334794527863803
1980-02-07,1.0072955295291022,0.00033041097040045753
1980-02-08,1.0069064980482234,0.0003265753445559985
1980-02-11,1.0071771498278688,0.000992054769437607
1980-02-13,1.0080303696262394,0.000669589055727606
1980-02-14,1.0081237422529052,0.00033369863849796663
1980-02-15,1.0057556872009688,0.0003350684806092145
1980-02-19,1.0043166862864137,0.0014027397469298481
1980-02-20,1.0051507309361467,0.0003671232772200075
1980-02-21,1.0049463176117979,0.00036438356686944827
1980-02-22,1.0054986838987559,0.0003676712349669574
1980-02-25,1.0053172351992619,0.001099726036803363
1980-02-26,1.0047474793689115,0.0003739725922885006
1980-02-27,1.0051702120847068,0.00037945206524574594
1980-02-28,1.0068165947266265,0.000379178086372271
1980-02-29,1.005115406331085,0.0003717808135568279
1980-03-03,1.0016281334795805,0.0011515068681272741
1980-03-04,1.001335953328414,0.000410958904109589
1980-03-05,1.0007232290753145,0.00041506848269945955
1980-03-06,0.9996081434164444,0.0004210958872755913
1980-03-07,1.0003571319366829,0.00043013698107575716
1980-03-10,1.0033452195998136,0.001284657543652678
1980-03-11,1.0032001852892913,0.0004180821980515572
1980-03-12,1.0025937350235348,0.0004213698661490662
1980-03-13,1.0052538350813134,0.00042739727072519794
1980-03-14,1.00505762836244,0.00041424657220709817
1980-03-17,1.0090162913849081,0.0012534246575342464
1980-03-18,1.0096513719583506,0.0004019178103094232
1980-03-19,1.0114163560473801,0.0004005479420701118
1980-03-20,1.0085622730298573,0.00039260273763578235
1980-03-21,1.008362378769122,0.00041150686185653895
1980-03-24,1.005958968285534,0.0012452054480983786
1980-03-25,1.0060664908491916,0.00043643836452536387
1980-03-26,1.0068281337400402,0.00043835616438356166
1980-03-27,1.0110530646050628,0.00043643836452536387
1980-03-28,1.0132083148164446,0.00041424657220709817
1980-03-31,1.016831892507704,0.0012123287671232876
1980-04-01,1.0134872982647847,0.00039013698003063463
1980-04-02,1.0146065506056512,0.00041178081460195045
1980-04-03,1.014589838073143,0.0004076712360120799
1980-04-07,1.0188819157038234,0.0016405479744689103
1980-04-08,1.0189460495870655,0.00039479451636745505
1980-04-09,1.0201529562133556,0.0003967123162256528
1980-04-10,1.0205949248049955,0.0003920548060168959
1980-04-11,1.0224676747276469,0.0003917808271434209
1980-04-14,1.0243437510297937,0.0011498629948864243
1980-04-15,1.024822360082243,0.000379178086372271
1980-04-16,1.0267407947455391,0.0003786301286253211
1980-04-17,1.0271149201323728,0.0003698630136986302
1980-04-18,1.028934458503124,0.0003698630136986302
1980-04-21,1.031338537607334,0.001084931491172477
1980-04-22,1.0350023865466151,0.0003542465837034461
